"BirdID","ColNestLaying","Date","Time_Since_sun_rise","Colony","Nest","Playback_type","Playback_file","Recording_day","playback","N_chicks","D_chicks","sex","Season","Feeding_visits","BirdID_CNL","exact_age","minimum_age","age_seasons","age_categorical","temperature","wind","class_breeder"
"BJ29237","8_69_2019-11-18","2019-12-12",64,"8","69","C",10,2,"five",3,10,"M","2019/2020",6,"BJ29237-8_69_2019-11-18",195,195,2,"too_young",16.8,2.8,"helper"
"BJ29237","8_69_2019-11-18","2019-12-11",107,"8","69","M",13,1,"five",3,9,"M","2019/2020",5,"BJ29237-8_69_2019-11-18",194,194,2,"too_young",17.4,0,"helper"
"BJ29254","37_18_2019-12-15","2020-01-09",82.9999999999999,"37","18","M",4,2,"four",3,11,"M","2019/2020",6,"BJ29254-37_18_2019-12-15",222,222,2,"too_young",17.8,0,"helper"
"BJ29254","37_18_2019-12-15","2020-01-08",101,"37","18","F",9,1,"four",3,10,"M","2019/2020",5,"BJ29254-37_18_2019-12-15",221,221,2,"too_young",18.8,3.4,"helper"
"BJ29254","37_18_2019-12-15","2020-01-10",59.9999999999999,"37","18","C",12,3,"four",3,12,"M","2019/2020",4,"BJ29254-37_18_2019-12-15",223,223,2,"too_young",19.2,2.6,"helper"
"BJ29259","37_45_2019-10-13","2019-11-07",110,"37","45","C",12,1,"one",3,11,"F","2019/2020",2,"BJ29259-37_45_2019-10-13",159,159,2,"too_young",20.1,3.1,"helper"
"BJ29259","37_45_2019-10-13","2019-11-09",77,"37","45","F",3,3,"one",3,13,"F","2019/2020",3,"BJ29259-37_45_2019-10-13",161,161,2,"too_young",16.7,2.6,"helper"
"BJ29261","37_45_2019-10-13","2019-11-09",77,"37","45","F",3,3,"one",3,13,"F","2019/2020",3,"BJ29261-37_45_2019-10-13",161,161,2,"too_young",16.7,2.6,"helper"
"BJ29261","37_45_2019-10-13","2019-11-07",110,"37","45","C",12,1,"one",3,11,"F","2019/2020",6,"BJ29261-37_45_2019-10-13",159,159,2,"too_young",20.1,3.1,"helper"
"BJ29286","37_28_2019-12-15","2020-01-08",101,"37","28","F",9,1,"four",3,11,"M","2019/2020",1,"BJ29286-37_28_2019-12-15",217,217,2,"too_young",18.8,3.4,"helper"
"BJ29286","37_28_2019-12-15","2020-01-10",59.9999999999999,"37","28","C",12,3,"four",3,13,"M","2019/2020",1,"BJ29286-37_28_2019-12-15",219,219,2,"too_young",19.2,2.6,"helper"
"TU_41_20_2019-12-16","41_20_2019-12-16","2020-01-11",56,"41","20","M",5,3,"two",2,12,"F","2019/2020",2,"TU-41_20_2019-12-16",NA,NA,NA,NA,20.4,4.8,"parent"
"TU_41_20_2019-12-16","41_20_2019-12-16","2020-01-10",96.9999999999999,"41","20","F",6,2,"two",2,11,"F","2019/2020",2,"TU-41_20_2019-12-16",NA,NA,NA,NA,19.2,2.6,"parent"
"TU_41_20_2019-12-16","41_20_2019-12-16","2020-01-08",69,"41","20","C",12,1,"two",2,9,"F","2019/2020",6,"TU-41_20_2019-12-16",NA,NA,NA,NA,18.8,3.4,"parent"
"U_7_23_2018-01-30","7_23_2018-01-30","2018-02-23",32,"7","23","C",2,1,"six",3,10,"F","2017/2018",2,"U-7_23_2018-01-30",NA,NA,NA,NA,18.7,3.9,"parent"
"U_7_23_2018-01-30","7_23_2018-01-30","2018-02-25",36,"7","23","M",4,3,"six",3,12,"F","2017/2018",5,"U-7_23_2018-01-30",NA,NA,NA,NA,12.4,4,"parent"
"U","2_41_2017-10-05","2017-10-30",44,"2","41","F",3,1,"four",2,10,NA,"2017/2018",1,"U-2_41_2017-10-05",NA,NA,NA,NA,16,5.5,"helper"
"U_2_4_2017-10-06","2_4_2017-10-06","2017-10-30",44,"2","4","F",3,1,"four",2,9,"F","2017/2018",4,"U-2_4_2017-10-06",NA,NA,NA,NA,16,5.5,"parent"
"U_2_4_2017-10-06","2_4_2017-10-06","2017-11-01",64,"2","4","C",1,3,"four",2,11,"F","2017/2018",8,"U-2_4_2017-10-06",NA,NA,NA,NA,23.3,2.4,"parent"
"U_2_4_2017-10-06","2_4_2017-10-06","2017-10-31",48,"2","4","F",6,2,"four",2,10,"F","2017/2018",6,"U-2_4_2017-10-06",NA,NA,NA,NA,16.5,2.1,"parent"
"U_43_25_2017-12-07","43_25_2017-12-07","2017-12-30",39,"43","25","F",6,1,"five",2,10,"F","2017/2018",9,"U-43_25_2017-12-07",NA,NA,NA,NA,16.3,0,"parent"
"U","2_2_2017-09-27","2017-10-31",48,"2","2","F",6,2,"four",1,19,NA,"2017/2018",1,"U-2_2_2017-09-27",NA,NA,NA,NA,16.5,2.1,"helper"
"U_43_25_2017-12-07","43_25_2017-12-07","2018-01-01",44,"43","25","F",9,3,"five",1,12,"F","2017/2018",7,"U-43_25_2017-12-07",NA,NA,NA,NA,19.1,4.5,"parent"
"U_7_23_2018-01-30","7_23_2018-01-30","2018-02-24",43,"7","23","F",3,2,"six",3,11,"F","2017/2018",7,"U-7_23_2018-01-30",NA,NA,NA,NA,19.8,5.8,"parent"
"U","7_11_2017-12-15","2018-01-10",31,"7","11","F",6,3,"three",2,13,NA,"2017/2018",1,"U-7_11_2017-12-15",NA,NA,NA,NA,15.7,2.9,"helper"
"U_43_25_2017-12-07","43_25_2017-12-07","2017-12-31",38,"43","25","C",12,2,"five",2,11,"F","2017/2018",7,"U-43_25_2017-12-07",NA,NA,NA,NA,18.1,1.6,"parent"
"U","42_21_2017-12-14","2018-01-06",45,"42","21","C",12,2,"five",3,9,NA,"2017/2018",1,"U-42_21_2017-12-14",NA,NA,NA,NA,20.2,1.9,"helper"
"URURURM_41_15_2019-12-16","41_15_2019-12-16","2020-01-10",96.9999999999999,"41","15","F",6,2,"two",3,11,"F","2019/2020",2,"URURURM-41_15_2019-12-16",NA,NA,NA,NA,19.2,2.6,"parent"
"URURURM_37_40_2019-12-16","37_40_2019-12-16","2020-01-08",101,"37","40","F",9,1,"four",3,8,"F","2019/2020",8,"URURURM-37_40_2019-12-16",NA,NA,NA,NA,18.8,3.4,"parent"
"URURURM_41_15_2019-12-16","41_15_2019-12-16","2020-01-11",56,"41","15","M",5,3,"two",3,12,"F","2019/2020",1,"URURURM-41_15_2019-12-16",NA,NA,NA,NA,20.4,4.8,"parent"
"URURURM_37_40_2019-12-16","37_40_2019-12-16","2020-01-09",82.9999999999999,"37","40","M",4,2,"four",3,9,"F","2019/2020",8,"URURURM-37_40_2019-12-16",NA,NA,NA,NA,17.8,0,"parent"
"URURURM_37_40_2019-12-16","37_40_2019-12-16","2020-01-10",59.9999999999999,"37","40","C",12,3,"four",3,10,"F","2019/2020",6,"URURURM-37_40_2019-12-16",NA,NA,NA,NA,19.2,2.6,"parent"
"URURURM_41_15_2019-12-16","41_15_2019-12-16","2020-01-08",69,"41","15","C",12,1,"two",3,9,"F","2019/2020",5,"URURURM-41_15_2019-12-16",NA,NA,NA,NA,18.8,3.4,"parent"
"URURURM_71_40_2019-10-11","71_40_2019-10-11","2019-11-06",75,"71","40","M",4,3,"two",2,13,"F","2019/2020",3,"URURURM-71_40_2019-10-11",NA,NA,NA,NA,21.1,7.5,"parent"
"URURURM_71_40_2019-10-11","71_40_2019-10-11","2019-11-04",61,"71","40","C",2,1,"two",2,11,"F","2019/2020",1,"URURURM-71_40_2019-10-11",NA,NA,NA,NA,14.7,2,"parent"
"URURURM_71_40_2019-10-11","71_40_2019-10-11","2019-11-05",84,"71","40","F",7,2,"two",2,12,"F","2019/2020",1,"URURURM-71_40_2019-10-11",NA,NA,NA,NA,25.5,8.3,"parent"
